run_id,depth,num_blocks,schedule,num_attention,num_mlp,is_balanced,is_control,first_block,last_block,num_alternations,a_before_m_score
depth2_bal_AAMM,2,4,AAMM,2,2,1,0,A,M,1,1.0
depth2_bal_AMAM,2,4,AMAM,2,2,1,0,A,M,3,0.75
depth2_bal_AMMA,2,4,AMMA,2,2,1,0,A,A,2,0.5
depth2_bal_MAAM,2,4,MAAM,2,2,1,0,M,M,2,0.5
depth2_bal_MAMA,2,4,MAMA,2,2,1,0,M,A,3,0.25
depth2_bal_MMAA,2,4,MMAA,2,2,1,0,M,A,1,0.0
depth3_bal_AAAMMM,3,6,AAAMMM,3,3,1,0,A,M,1,1.0
depth3_bal_AAMAMM,3,6,AAMAMM,3,3,1,0,A,M,3,0.8888888888888888
depth3_bal_AAMMAM,3,6,AAMMAM,3,3,1,0,A,M,3,0.7777777777777778
depth3_bal_AAMMMA,3,6,AAMMMA,3,3,1,0,A,A,2,0.6666666666666666
depth3_bal_AMAAMM,3,6,AMAAMM,3,3,1,0,A,M,3,0.7777777777777778
depth3_bal_AMAMAM,3,6,AMAMAM,3,3,1,0,A,M,5,0.6666666666666666
depth3_bal_AMAMMA,3,6,AMAMMA,3,3,1,0,A,A,4,0.5555555555555556
depth3_bal_AMMAAM,3,6,AMMAAM,3,3,1,0,A,M,3,0.5555555555555556
depth3_bal_AMMAMA,3,6,AMMAMA,3,3,1,0,A,A,4,0.4444444444444444
depth3_bal_AMMMAA,3,6,AMMMAA,3,3,1,0,A,A,2,0.3333333333333333
depth3_bal_MAAAMM,3,6,MAAAMM,3,3,1,0,M,M,2,0.6666666666666666
depth3_bal_MAAMAM,3,6,MAAMAM,3,3,1,0,M,M,4,0.5555555555555556
depth3_bal_MAAMMA,3,6,MAAMMA,3,3,1,0,M,A,3,0.4444444444444444
depth3_bal_MAMAAM,3,6,MAMAAM,3,3,1,0,M,M,4,0.4444444444444444
depth3_bal_MAMAMA,3,6,MAMAMA,3,3,1,0,M,A,5,0.3333333333333333
depth3_bal_MAMMAA,3,6,MAMMAA,3,3,1,0,M,A,3,0.2222222222222222
depth3_bal_MMAAAM,3,6,MMAAAM,3,3,1,0,M,M,2,0.3333333333333333
depth3_bal_MMAAMA,3,6,MMAAMA,3,3,1,0,M,A,3,0.2222222222222222
depth3_bal_MMAMAA,3,6,MMAMAA,3,3,1,0,M,A,3,0.1111111111111111
depth3_bal_MMMAAA,3,6,MMMAAA,3,3,1,0,M,A,1,0.0
depth4_bal_AAAAMMMM,4,8,AAAAMMMM,4,4,1,0,A,M,1,1.0
depth4_bal_AAAMAMMM,4,8,AAAMAMMM,4,4,1,0,A,M,3,0.9375
depth4_bal_AAAMMAMM,4,8,AAAMMAMM,4,4,1,0,A,M,3,0.875
depth4_bal_AAAMMMAM,4,8,AAAMMMAM,4,4,1,0,A,M,3,0.8125
depth4_bal_AAAMMMMA,4,8,AAAMMMMA,4,4,1,0,A,A,2,0.75
depth4_bal_AAMAAMMM,4,8,AAMAAMMM,4,4,1,0,A,M,3,0.875
depth4_bal_AAMAMAMM,4,8,AAMAMAMM,4,4,1,0,A,M,5,0.8125
depth4_bal_AAMAMMAM,4,8,AAMAMMAM,4,4,1,0,A,M,5,0.75
depth4_bal_AAMAMMMA,4,8,AAMAMMMA,4,4,1,0,A,A,4,0.6875
depth4_bal_AAMMAAMM,4,8,AAMMAAMM,4,4,1,0,A,M,3,0.75
depth4_bal_AAMMAMAM,4,8,AAMMAMAM,4,4,1,0,A,M,5,0.6875
depth4_bal_AAMMAMMA,4,8,AAMMAMMA,4,4,1,0,A,A,4,0.625
depth4_bal_AAMMMAAM,4,8,AAMMMAAM,4,4,1,0,A,M,3,0.625
depth4_bal_AAMMMAMA,4,8,AAMMMAMA,4,4,1,0,A,A,4,0.5625
depth4_bal_AAMMMMAA,4,8,AAMMMMAA,4,4,1,0,A,A,2,0.5
depth4_bal_AMAAAMMM,4,8,AMAAAMMM,4,4,1,0,A,M,3,0.8125
depth4_bal_AMAAMAMM,4,8,AMAAMAMM,4,4,1,0,A,M,5,0.75
depth4_bal_AMAAMMAM,4,8,AMAAMMAM,4,4,1,0,A,M,5,0.6875
depth4_bal_AMAAMMMA,4,8,AMAAMMMA,4,4,1,0,A,A,4,0.625
depth4_bal_AMAMAAMM,4,8,AMAMAAMM,4,4,1,0,A,M,5,0.6875
depth4_bal_AMAMAMAM,4,8,AMAMAMAM,4,4,1,0,A,M,7,0.625
depth4_bal_AMAMAMMA,4,8,AMAMAMMA,4,4,1,0,A,A,6,0.5625
depth4_bal_AMAMMAAM,4,8,AMAMMAAM,4,4,1,0,A,M,5,0.5625
depth4_bal_AMAMMAMA,4,8,AMAMMAMA,4,4,1,0,A,A,6,0.5
depth4_bal_AMAMMMAA,4,8,AMAMMMAA,4,4,1,0,A,A,4,0.4375
depth4_bal_AMMAAAMM,4,8,AMMAAAMM,4,4,1,0,A,M,3,0.625
depth4_bal_AMMAAMAM,4,8,AMMAAMAM,4,4,1,0,A,M,5,0.5625
depth4_bal_AMMAAMMA,4,8,AMMAAMMA,4,4,1,0,A,A,4,0.5
depth4_bal_AMMAMAAM,4,8,AMMAMAAM,4,4,1,0,A,M,5,0.5
depth4_bal_AMMAMAMA,4,8,AMMAMAMA,4,4,1,0,A,A,6,0.4375
depth4_bal_AMMAMMAA,4,8,AMMAMMAA,4,4,1,0,A,A,4,0.375
depth4_bal_AMMMAAAM,4,8,AMMMAAAM,4,4,1,0,A,M,3,0.4375
depth4_bal_AMMMAAMA,4,8,AMMMAAMA,4,4,1,0,A,A,4,0.375
depth4_bal_AMMMAMAA,4,8,AMMMAMAA,4,4,1,0,A,A,4,0.3125
depth4_bal_AMMMMAAA,4,8,AMMMMAAA,4,4,1,0,A,A,2,0.25
depth4_bal_MAAAAMMM,4,8,MAAAAMMM,4,4,1,0,M,M,2,0.75
depth4_bal_MAAAMAMM,4,8,MAAAMAMM,4,4,1,0,M,M,4,0.6875
depth4_bal_MAAAMMAM,4,8,MAAAMMAM,4,4,1,0,M,M,4,0.625
depth4_bal_MAAAMMMA,4,8,MAAAMMMA,4,4,1,0,M,A,3,0.5625
depth4_bal_MAAMAAMM,4,8,MAAMAAMM,4,4,1,0,M,M,4,0.625
depth4_bal_MAAMAMAM,4,8,MAAMAMAM,4,4,1,0,M,M,6,0.5625
depth4_bal_MAAMAMMA,4,8,MAAMAMMA,4,4,1,0,M,A,5,0.5
depth4_bal_MAAMMAAM,4,8,MAAMMAAM,4,4,1,0,M,M,4,0.5
depth4_bal_MAAMMAMA,4,8,MAAMMAMA,4,4,1,0,M,A,5,0.4375
depth4_bal_MAAMMMAA,4,8,MAAMMMAA,4,4,1,0,M,A,3,0.375
depth4_bal_MAMAAAMM,4,8,MAMAAAMM,4,4,1,0,M,M,4,0.5625
depth4_bal_MAMAAMAM,4,8,MAMAAMAM,4,4,1,0,M,M,6,0.5
depth4_bal_MAMAAMMA,4,8,MAMAAMMA,4,4,1,0,M,A,5,0.4375
depth4_bal_MAMAMAAM,4,8,MAMAMAAM,4,4,1,0,M,M,6,0.4375
depth4_bal_MAMAMAMA,4,8,MAMAMAMA,4,4,1,0,M,A,7,0.375
depth4_bal_MAMAMMAA,4,8,MAMAMMAA,4,4,1,0,M,A,5,0.3125
depth4_bal_MAMMAAAM,4,8,MAMMAAAM,4,4,1,0,M,M,4,0.375
depth4_bal_MAMMAAMA,4,8,MAMMAAMA,4,4,1,0,M,A,5,0.3125
depth4_bal_MAMMAMAA,4,8,MAMMAMAA,4,4,1,0,M,A,5,0.25
depth4_bal_MAMMMAAA,4,8,MAMMMAAA,4,4,1,0,M,A,3,0.1875
depth4_bal_MMAAAAMM,4,8,MMAAAAMM,4,4,1,0,M,M,2,0.5
depth4_bal_MMAAAMAM,4,8,MMAAAMAM,4,4,1,0,M,M,4,0.4375
depth4_bal_MMAAAMMA,4,8,MMAAAMMA,4,4,1,0,M,A,3,0.375
depth4_bal_MMAAMAAM,4,8,MMAAMAAM,4,4,1,0,M,M,4,0.375
depth4_bal_MMAAMAMA,4,8,MMAAMAMA,4,4,1,0,M,A,5,0.3125
depth4_bal_MMAAMMAA,4,8,MMAAMMAA,4,4,1,0,M,A,3,0.25
depth4_bal_MMAMAAAM,4,8,MMAMAAAM,4,4,1,0,M,M,4,0.3125
depth4_bal_MMAMAAMA,4,8,MMAMAAMA,4,4,1,0,M,A,5,0.25
depth4_bal_MMAMAMAA,4,8,MMAMAMAA,4,4,1,0,M,A,5,0.1875
depth4_bal_MMAMMAAA,4,8,MMAMMAAA,4,4,1,0,M,A,3,0.125
depth4_bal_MMMAAAAM,4,8,MMMAAAAM,4,4,1,0,M,M,2,0.25
depth4_bal_MMMAAAMA,4,8,MMMAAAMA,4,4,1,0,M,A,3,0.1875
depth4_bal_MMMAAMAA,4,8,MMMAAMAA,4,4,1,0,M,A,3,0.125
depth4_bal_MMMAMAAA,4,8,MMMAMAAA,4,4,1,0,M,A,3,0.0625
depth4_bal_MMMMAAAA,4,8,MMMMAAAA,4,4,1,0,M,A,1,0.0
depth2_control_AAAA,2,4,AAAA,4,0,0,1,A,A,0,nan
depth2_control_MMMM,2,4,MMMM,0,4,0,1,M,M,0,nan
depth3_control_AAAAAA,3,6,AAAAAA,6,0,0,1,A,A,0,nan
depth3_control_MMMMMM,3,6,MMMMMM,0,6,0,1,M,M,0,nan
depth4_control_AAAAAAAA,4,8,AAAAAAAA,8,0,0,1,A,A,0,nan
depth4_control_MMMMMMMM,4,8,MMMMMMMM,0,8,0,1,M,M,0,nan
