epoch,train_acc,val_acc,test_acc,layer,hook,erank,delta_attn,delta_mlp
1,0.007180156657963447,0.009138381201044387,0.007383376216579036,0,pre,1.0000000000000402,66.90321494339598,0.0
1,0.007180156657963447,0.009138381201044387,0.007383376216579036,0,mid,67.90321494339602,,
1,0.007180156657963447,0.009138381201044387,0.007383376216579036,0,post,67.90321494339602,,
1,0.007180156657963447,0.009138381201044387,0.007383376216579036,1,pre,67.90321494339602,8.884115441092007,0.0
1,0.007180156657963447,0.009138381201044387,0.007383376216579036,1,mid,76.78733038448803,,
1,0.007180156657963447,0.009138381201044387,0.007383376216579036,1,post,76.78733038448803,,
5,0.013054830287206266,0.009138381201044387,0.00805459223626804,0,pre,1.000000000000033,66.06461304403678,0.0
5,0.013054830287206266,0.009138381201044387,0.00805459223626804,0,mid,67.0646130440368,,
5,0.013054830287206266,0.009138381201044387,0.00805459223626804,0,post,67.0646130440368,,
5,0.013054830287206266,0.009138381201044387,0.00805459223626804,1,pre,67.0646130440368,7.836145412217704,0.0
5,0.013054830287206266,0.009138381201044387,0.00805459223626804,1,mid,74.90075845625451,,
5,0.013054830287206266,0.009138381201044387,0.00805459223626804,1,post,74.90075845625451,,
10,0.017950391644908616,0.005221932114882507,0.005593466830741693,0,pre,1.000000000000035,63.706693757548955,0.0
10,0.017950391644908616,0.005221932114882507,0.005593466830741693,0,mid,64.70669375754899,,
10,0.017950391644908616,0.005221932114882507,0.005593466830741693,0,post,64.70669375754899,,
10,0.017950391644908616,0.005221932114882507,0.005593466830741693,1,pre,64.70669375754899,4.667689965183968,0.0
10,0.017950391644908616,0.005221932114882507,0.005593466830741693,1,mid,69.37438372273296,,
10,0.017950391644908616,0.005221932114882507,0.005593466830741693,1,post,69.37438372273296,,
25,0.04275456919060052,0.0013054830287206266,0.0038035574449043516,0,pre,1.000000000000033,44.447914960849154,0.0
25,0.04275456919060052,0.0013054830287206266,0.0038035574449043516,0,mid,45.44791496084919,,
25,0.04275456919060052,0.0013054830287206266,0.0038035574449043516,0,post,45.44791496084919,,
25,0.04275456919060052,0.0013054830287206266,0.0038035574449043516,1,pre,45.44791496084919,-3.8360257283370416,0.0
25,0.04275456919060052,0.0013054830287206266,0.0038035574449043516,1,mid,41.61188923251215,,
25,0.04275456919060052,0.0013054830287206266,0.0038035574449043516,1,post,41.61188923251215,,
50,0.08028720626631854,0.0039164490861618795,0.0013424320393780065,0,pre,1.0000000000000346,31.909929280015596,0.0
50,0.08028720626631854,0.0039164490861618795,0.0013424320393780065,0,mid,32.90992928001563,,
50,0.08028720626631854,0.0039164490861618795,0.0013424320393780065,0,post,32.90992928001563,,
50,0.08028720626631854,0.0039164490861618795,0.0013424320393780065,1,pre,32.90992928001563,13.027381613914919,0.0
50,0.08028720626631854,0.0039164490861618795,0.0013424320393780065,1,mid,45.93731089393055,,
50,0.08028720626631854,0.0039164490861618795,0.0013424320393780065,1,post,45.93731089393055,,
100,0.15796344647519583,0.0,0.0015661707126076742,0,pre,1.000000000000036,26.34082702923542,0.0
100,0.15796344647519583,0.0,0.0015661707126076742,0,mid,27.340827029235456,,
100,0.15796344647519583,0.0,0.0015661707126076742,0,post,27.340827029235456,,
100,0.15796344647519583,0.0,0.0015661707126076742,1,pre,27.340827029235456,23.481567628785193,0.0
100,0.15796344647519583,0.0,0.0015661707126076742,1,mid,50.82239465802065,,
100,0.15796344647519583,0.0,0.0015661707126076742,1,post,50.82239465802065,,
200,0.2522845953002611,0.0013054830287206266,0.0012305627027631727,0,pre,1.0000000000000409,22.120681499437346,0.0
200,0.2522845953002611,0.0013054830287206266,0.0012305627027631727,0,mid,23.120681499437385,,
200,0.2522845953002611,0.0013054830287206266,0.0012305627027631727,0,post,23.120681499437385,,
200,0.2522845953002611,0.0013054830287206266,0.0012305627027631727,1,pre,23.120681499437385,30.407162098905356,0.0
200,0.2522845953002611,0.0013054830287206266,0.0012305627027631727,1,mid,53.52784359834274,,
200,0.2522845953002611,0.0013054830287206266,0.0012305627027631727,1,post,53.52784359834274,,
300,0.32114882506527415,0.0026109660574412533,0.002684864078756013,0,pre,1.000000000000044,20.541670118638304,0.0
300,0.32114882506527415,0.0026109660574412533,0.002684864078756013,0,mid,21.541670118638347,,
