epoch,train_acc,val_acc,test_acc,layer,hook,erank,delta_attn,delta_mlp
1,0.048214285714285716,0.065,0.059333333333333335,0,pre,3.96563453901154,8.194474445997173,1.3679811742483636
1,0.048214285714285716,0.065,0.059333333333333335,0,mid,12.160108985008712,,
1,0.048214285714285716,0.065,0.059333333333333335,0,post,13.528090159257076,,
1,0.048214285714285716,0.065,0.059333333333333335,1,pre,13.528090159257076,8.62887018316578,1.4035299939532067
1,0.048214285714285716,0.065,0.059333333333333335,1,mid,22.156960342422856,,
1,0.048214285714285716,0.065,0.059333333333333335,1,post,23.560490336376063,,
5,0.35464285714285715,0.49857142857142855,0.49666666666666665,0,pre,3.95828787447409,14.758956663359639,-0.5046703392587872
5,0.35464285714285715,0.49857142857142855,0.49666666666666665,0,mid,18.71724453783373,,
5,0.35464285714285715,0.49857142857142855,0.49666666666666665,0,post,18.21257419857494,,
5,0.35464285714285715,0.49857142857142855,0.49666666666666665,1,pre,18.21257419857494,10.762888444692493,0.126323199840094
5,0.35464285714285715,0.49857142857142855,0.49666666666666665,1,mid,28.975462643267434,,
5,0.35464285714285715,0.49857142857142855,0.49666666666666665,1,post,29.10178584310753,,
10,1.0,1.0,1.0,0,pre,3.9409237031037305,13.930509122657778,-5.3812064168593565
10,1.0,1.0,1.0,0,mid,17.87143282576151,,
10,1.0,1.0,1.0,0,post,12.490226408902153,,
10,1.0,1.0,1.0,1,pre,12.490226408902153,13.85662965081486,3.3619850827534847
10,1.0,1.0,1.0,1,mid,26.346856059717012,,
10,1.0,1.0,1.0,1,post,29.708841142470497,,
25,1.0,1.0,1.0,0,pre,3.9389811110997113,11.526887023588875,-4.936222832107864
25,1.0,1.0,1.0,0,mid,15.465868134688586,,
25,1.0,1.0,1.0,0,post,10.529645302580722,,
25,1.0,1.0,1.0,1,pre,10.529645302580722,13.641554387724032,-0.2134363432782571
25,1.0,1.0,1.0,1,mid,24.171199690304753,,
25,1.0,1.0,1.0,1,post,23.957763347026496,,
50,1.0,1.0,1.0,0,pre,3.927357823882147,8.466097314901395,-4.405205259850343
50,1.0,1.0,1.0,0,mid,12.393455138783542,,
50,1.0,1.0,1.0,0,post,7.9882498789332,,
50,1.0,1.0,1.0,1,pre,7.9882498789332,12.480053363144876,-3.991857041424936
50,1.0,1.0,1.0,1,mid,20.468303242078075,,
50,1.0,1.0,1.0,1,post,16.47644620065314,,
100,1.0,1.0,1.0,0,pre,3.867905814112786,4.7990409949385775,-3.3108032379270425
100,1.0,1.0,1.0,0,mid,8.666946809051364,,
100,1.0,1.0,1.0,0,post,5.3561435711243215,,
100,1.0,1.0,1.0,1,pre,5.3561435711243215,10.03856435857638,-4.381686168455751
100,1.0,1.0,1.0,1,mid,15.3947079297007,,
100,1.0,1.0,1.0,1,post,11.01302176124495,,
200,1.0,1.0,1.0,0,pre,3.6510362943153307,1.9754595962214543,-1.9492771596582728
200,1.0,1.0,1.0,0,mid,5.626495890536785,,
200,1.0,1.0,1.0,0,post,3.6772187308785123,,
200,1.0,1.0,1.0,1,pre,3.6772187308785123,7.555918202707917,-2.601860433920786
200,1.0,1.0,1.0,1,mid,11.23313693358643,,
200,1.0,1.0,1.0,1,post,8.631276499665644,,
500,1.0,1.0,1.0,0,pre,3.1344875839819277,0.506112298240804,-0.6970383841160808
500,1.0,1.0,1.0,0,mid,3.6405998822227317,,
500,1.0,1.0,1.0,0,post,2.943561498106651,,
500,1.0,1.0,1.0,1,pre,2.943561498106651,6.073857866735028,-2.0742824503295703
500,1.0,1.0,1.0,1,mid,9.017419364841679,,
500,1.0,1.0,1.0,1,post,6.943136914512109,,
