task,seed,layer,component,r,scale,test_acc,delta_test_acc,base_test_acc
key_value,0,1,mlp,0.0,1.0,1.0,0.0,1.0
key_value,0,1,mlp,0.05,0.95,1.0,0.0,1.0
key_value,0,1,mlp,0.1,0.9,1.0,0.0,1.0
key_value,0,1,mlp,0.25,0.75,1.0,0.0,1.0
key_value,0,1,mlp,0.5,0.5,1.0,0.0,1.0
key_value,0,1,mlp,0.75,0.25,1.0,0.0,1.0
key_value,0,1,mlp,0.9,0.09999999999999998,0.849,0.15100000000000002,1.0
key_value,0,1,mlp,1.0,0.0,0.30433333333333334,0.6956666666666667,1.0
key_value,1,1,mlp,0.0,1.0,1.0,0.0,1.0
key_value,1,1,mlp,0.05,0.95,1.0,0.0,1.0
key_value,1,1,mlp,0.1,0.9,1.0,0.0,1.0
key_value,1,1,mlp,0.25,0.75,1.0,0.0,1.0
key_value,1,1,mlp,0.5,0.5,1.0,0.0,1.0
key_value,1,1,mlp,0.75,0.25,1.0,0.0,1.0
key_value,1,1,mlp,0.9,0.09999999999999998,0.738,0.262,1.0
key_value,1,1,mlp,1.0,0.0,0.27066666666666667,0.7293333333333334,1.0
key_value,2,1,mlp,0.0,1.0,1.0,0.0,1.0
key_value,2,1,mlp,0.05,0.95,1.0,0.0,1.0
key_value,2,1,mlp,0.1,0.9,1.0,0.0,1.0
key_value,2,1,mlp,0.25,0.75,1.0,0.0,1.0
key_value,2,1,mlp,0.5,0.5,1.0,0.0,1.0
key_value,2,1,mlp,0.75,0.25,1.0,0.0,1.0
key_value,2,1,mlp,0.9,0.09999999999999998,0.9353333333333333,0.06466666666666665,1.0
key_value,2,1,mlp,1.0,0.0,0.4026666666666667,0.5973333333333333,1.0
modular_addition,0,0,attn,0.0,1.0,0.9998881306633851,0.0,0.9998881306633851
modular_addition,0,0,attn,0.05,0.95,0.9997762613267703,0.00011186933661477827,0.9998881306633851
modular_addition,0,0,attn,0.1,0.9,0.9997762613267703,0.00011186933661477827,0.9998881306633851
modular_addition,0,0,attn,0.25,0.75,0.999328783980311,0.0005593466830741134,0.9998881306633851
modular_addition,0,0,attn,0.5,0.5,0.9936234478129544,0.006264682850430692,0.9998881306633851
modular_addition,0,0,attn,0.75,0.25,0.7338628481933103,0.26602528247007484,0.9998881306633851
modular_addition,0,0,attn,0.9,0.09999999999999998,0.45754558675467055,0.5423425439087146,0.9998881306633851
modular_addition,0,0,attn,1.0,0.0,0.10012305627027632,0.8997650743931088,0.9998881306633851
modular_addition,1,0,attn,0.0,1.0,1.0,0.0,1.0
modular_addition,1,0,attn,0.05,0.95,1.0,0.0,1.0
modular_addition,1,0,attn,0.1,0.9,1.0,0.0,1.0
modular_addition,1,0,attn,0.25,0.75,0.9998881306633851,0.00011186933661488929,1.0
modular_addition,1,0,attn,0.5,0.5,0.8741469963083119,0.12585300369168806,1.0
modular_addition,1,0,attn,0.75,0.25,0.4829399261662378,0.5170600738337622,1.0
modular_addition,1,0,attn,0.9,0.09999999999999998,0.32084125741134356,0.6791587425886565,1.0
modular_addition,1,0,attn,1.0,0.0,0.1598612820225976,0.8401387179774024,1.0
modular_addition,2,0,attn,0.0,1.0,1.0,0.0,1.0
modular_addition,2,0,attn,0.05,0.95,1.0,0.0,1.0
modular_addition,2,0,attn,0.1,0.9,1.0,0.0,1.0
modular_addition,2,0,attn,0.25,0.75,1.0,0.0,1.0
modular_addition,2,0,attn,0.5,0.5,0.8660924040720438,0.1339075959279562,1.0
modular_addition,2,0,attn,0.75,0.25,0.25908938359995526,0.7409106164000447,1.0
modular_addition,2,0,attn,0.9,0.09999999999999998,0.030875936905694148,0.9691240630943059,1.0
modular_addition,2,0,attn,1.0,0.0,0.01129880299809822,0.9887011970019017,1.0
modular_addition,0,0,mlp,0.0,1.0,0.9998881306633851,0.0,0.9998881306633851
modular_addition,0,0,mlp,0.05,0.95,0.9997762613267703,0.00011186933661477827,0.9998881306633851
modular_addition,0,0,mlp,0.1,0.9,0.9997762613267703,0.00011186933661477827,0.9998881306633851
modular_addition,0,0,mlp,0.25,0.75,0.9995525226535407,0.00033560800984444583,0.9998881306633851
modular_addition,0,0,mlp,0.5,0.5,0.9975388745944737,0.002349256068911454,0.9998881306633851
modular_addition,0,0,mlp,0.75,0.25,0.8695603535071037,0.1303277771562814,0.9998881306633851
modular_addition,0,0,mlp,0.9,0.09999999999999998,0.4038483051795503,0.5960398254838348,0.9998881306633851
modular_addition,0,0,mlp,1.0,0.0,0.12797852108736996,0.8719096095760152,0.9998881306633851
modular_addition,1,0,mlp,0.0,1.0,1.0,0.0,1.0
modular_addition,1,0,mlp,0.05,0.95,1.0,0.0,1.0
modular_addition,1,0,mlp,0.1,0.9,1.0,0.0,1.0
modular_addition,1,0,mlp,0.25,0.75,1.0,0.0,1.0
modular_addition,1,0,mlp,0.5,0.5,0.9097214453518291,0.09027855464817092,1.0
modular_addition,1,0,mlp,0.75,0.25,0.5832867211097438,0.4167132788902562,1.0
modular_addition,1,0,mlp,0.9,0.09999999999999998,0.21132117686542118,0.7886788231345788,1.0
modular_addition,1,0,mlp,1.0,0.0,0.03288958496476116,0.9671104150352389,1.0
modular_addition,2,0,mlp,0.0,1.0,1.0,0.0,1.0
modular_addition,2,0,mlp,0.05,0.95,1.0,0.0,1.0
modular_addition,2,0,mlp,0.1,0.9,1.0,0.0,1.0
modular_addition,2,0,mlp,0.25,0.75,1.0,0.0,1.0
modular_addition,2,0,mlp,0.5,0.5,0.9704664951336839,0.029533504866316118,1.0
modular_addition,2,0,mlp,0.75,0.25,0.5250027967334153,0.4749972032665847,1.0
modular_addition,2,0,mlp,0.9,0.09999999999999998,0.27228996532050564,0.7277100346794944,1.0
modular_addition,2,0,mlp,1.0,0.0,0.07953909833314689,0.9204609016668531,1.0
