task,architecture,layer,component,ablation_strength_r,scale,mean_ablated_test_acc,std_ablated_test_acc,mean_delta_test_acc,std_delta_test_acc,n_seeds
key_value,standard,1,attn,0.0,1.0,1.0,0.0,0.0,0.0,3
key_value,standard,1,attn,0.05,0.95,1.0,0.0,0.0,0.0,3
key_value,standard,1,attn,0.1,0.9,1.0,0.0,0.0,0.0,3
key_value,standard,1,attn,0.25,0.75,1.0,0.0,0.0,0.0,3
key_value,standard,1,attn,0.5,0.5,0.8274444444444443,0.22901679274242026,0.17255555555555557,0.22901679274242026,3
key_value,standard,1,attn,0.75,0.25,0.2868888888888889,0.11658896883633971,0.713111111111111,0.11658896883633971,3
key_value,standard,1,attn,0.9,0.09999999999999998,0.069,0.02246148967719012,0.931,0.022461489677190128,3
key_value,standard,1,attn,1.0,0.0,0.034,0.0023253832818284836,0.9659999999999999,0.0023253832818284554,3
key_value,standard,0,mlp,0.0,1.0,1.0,0.0,0.0,0.0,3
key_value,standard,0,mlp,0.05,0.95,1.0,0.0,0.0,0.0,3
key_value,standard,0,mlp,0.1,0.9,1.0,0.0,0.0,0.0,3
key_value,standard,0,mlp,0.25,0.75,1.0,0.0,0.0,0.0,3
key_value,standard,0,mlp,0.5,0.5,0.6174444444444444,0.033631261177586885,0.3825555555555556,0.033631261177586885,3
key_value,standard,0,mlp,0.75,0.25,0.10244444444444445,0.024980486211401583,0.8975555555555556,0.02498048621140156,3
key_value,standard,0,mlp,0.9,0.09999999999999998,0.059222222222222225,0.018411617373848166,0.9407777777777778,0.018411617373848176,3
key_value,standard,0,mlp,1.0,0.0,0.048777777777777774,0.015071025262706443,0.9512222222222223,0.015071025262706445,3
modular_addition,standard,1,attn,0.0,1.0,0.9999627102211285,5.27357110181525e-05,0.0,0.0,3
modular_addition,standard,1,attn,0.05,0.95,0.9999254204422567,0.00010547142203625267,3.728977887159276e-05,5.2735711018100166e-05,3
modular_addition,standard,1,attn,0.1,0.9,0.9999254204422567,0.00010547142203625267,3.728977887159276e-05,5.2735711018100166e-05,3
modular_addition,standard,1,attn,0.25,0.75,0.9998508408845135,0.0001395255765661509,0.00011186933661485228,9.134093085666466e-05,3
modular_addition,standard,1,attn,0.5,0.5,0.9582354476637954,0.05424423535962765,0.04172726255733302,0.054271273091794886,3
modular_addition,standard,1,attn,0.75,0.25,0.4477010851325652,0.269922465541874,0.5522616250885632,0.2699736055995001,3
modular_addition,standard,1,attn,0.9,0.09999999999999998,0.11261513219226611,0.06726391876478767,0.8873475780288622,0.06731157315741036,3
modular_addition,standard,1,attn,1.0,0.0,0.010553007420665996,0.0007980361173521534,0.9894097028004624,0.0007875121035888504,3
modular_addition,standard,1,mlp,0.0,1.0,0.9999627102211285,5.27357110181525e-05,0.0,0.0,3
modular_addition,standard,1,mlp,0.05,0.95,0.9999627102211285,5.27357110181525e-05,0.0,0.0,3
modular_addition,standard,1,mlp,0.1,0.9,0.9999627102211285,5.27357110181525e-05,0.0,0.0,3
modular_addition,standard,1,mlp,0.25,0.75,0.9999627102211285,5.27357110181525e-05,0.0,0.0,3
modular_addition,standard,1,mlp,0.5,0.5,0.999328783980311,0.0005480455851399879,0.0006339262408173729,0.0005505769869945727,3
modular_addition,standard,1,mlp,0.75,0.25,0.6538016929559608,0.18771166516814597,0.3461610172651676,0.18767465963574115,3
modular_addition,standard,1,mlp,0.9,0.09999999999999998,0.21035164261475928,0.19315811022371135,0.7896110676063689,0.19312698683377766,3
modular_addition,standard,1,mlp,1.0,0.0,0.049073348995040456,0.057776032962314025,0.9508893612260879,0.05774914325066185,3
