model_name,checkpoint_path,checkpoint_type,layers,p,m,seed,probe_type,target,train_acc,val_acc,test_acc,train_loss,val_loss,test_loss,probe_hidden_dim_if_mlp,elapsed_sec,status
hybrid_small_p23_m3_standard_2layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_2layer_seed0/best_val_checkpoint.pt,best_val,2,23,3,0,linear,sum,0.33603876645947844,0.33164384961128235,0.3224215805530548,1.4137366585624465,1.4549708366394043,1.4680311679840088,,294.4,OK
hybrid_small_p23_m3_standard_2layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_2layer_seed0/best_val_checkpoint.pt,best_val,2,23,3,0,mlp,sum,0.35382955771305286,0.34082192182540894,0.32228460907936096,1.250527262555004,1.3054617643356323,1.305953860282898,256,293.1,OK
hybrid_small_p23_m3_standard_2layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_2layer_seed0/best_val_checkpoint.pt,best_val,2,23,3,0,linear,r1,0.241228746083115,0.253972589969635,0.2532529830932617,2.066668259170994,2.0683774948120117,2.0692245960235596,,287.7,OK
hybrid_small_p23_m3_standard_2layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_2layer_seed0/best_val_checkpoint.pt,best_val,2,23,3,0,mlp,r1,0.3493947021455112,0.34082192182540894,0.3284481465816498,1.2958699778758023,1.3188257217407227,1.3215315341949463,256,196.1,OK
hybrid_small_p23_m3_standard_2layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_2layer_seed0/best_val_checkpoint.pt,best_val,2,23,3,0,linear,r2,0.24816355884317048,0.24972602725028992,0.2498287856578827,2.040801359279089,2.06624436378479,2.0499258041381836,,154.7,OK
hybrid_small_p23_m3_standard_2layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_2layer_seed0/best_val_checkpoint.pt,best_val,2,23,3,0,mlp,r2,0.3570144346843376,0.34616437554359436,0.3188604414463043,1.2177741483997737,1.2369804382324219,1.2515324354171753,256,166.9,OK
hybrid_small_p23_m3_standard_3layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_3layer_seed0/best_val_checkpoint.pt,best_val,3,23,3,0,linear,sum,0.36281912980942105,0.35082191228866577,0.33502259850502014,1.2688241457543559,1.3149203062057495,1.3304932117462158,,151.0,OK
hybrid_small_p23_m3_standard_3layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_3layer_seed0/best_val_checkpoint.pt,best_val,3,23,3,0,mlp,sum,0.35138096950394687,0.34684932231903076,0.3368031680583954,1.3510848861494198,1.374832272529602,1.3796683549880981,256,163.3,OK
hybrid_small_p23_m3_standard_3layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_3layer_seed0/best_val_checkpoint.pt,best_val,3,23,3,0,linear,r1,0.3334531942946182,0.33589041233062744,0.3326941430568695,1.6133592261494198,1.6403981447219849,1.6343377828598022,,146.7,OK
hybrid_small_p23_m3_standard_3layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_3layer_seed0/best_val_checkpoint.pt,best_val,3,23,3,0,mlp,r1,0.35483981438673995,0.3446575403213501,0.3370771110057831,1.232940386534574,1.254974126815796,1.2635953426361084,256,161.8,OK
hybrid_small_p23_m3_standard_3layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_3layer_seed0/best_val_checkpoint.pt,best_val,3,23,3,0,linear,r2,0.3346004349240595,0.3357534110546112,0.3299548029899597,1.6091187581124222,1.6349204778671265,1.6172829866409302,,146.1,OK
hybrid_small_p23_m3_standard_3layer_seed0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/hybrid_small_p23_m3_standard_3layer_seed0/best_val_checkpoint.pt,best_val,3,23,3,0,mlp,r2,0.3574596325405387,0.3523287773132324,0.3288590610027313,1.2877455054790001,1.296715259552002,1.3116856813430786,256,162.6,OK
