model_name,layers,target,probe_type,train_acc,val_acc,test_acc
hybrid_small_p23_m3_standard_2layer_seed0,2,sum,linear,0.3360,0.3316,0.3224
hybrid_small_p23_m3_standard_2layer_seed0,2,sum,mlp,0.3538,0.3408,0.3223
hybrid_small_p23_m3_standard_2layer_seed0,2,r1,linear,0.2412,0.2540,0.2533
hybrid_small_p23_m3_standard_2layer_seed0,2,r1,mlp,0.3494,0.3408,0.3284
hybrid_small_p23_m3_standard_2layer_seed0,2,r2,linear,0.2482,0.2497,0.2498
hybrid_small_p23_m3_standard_2layer_seed0,2,r2,mlp,0.3570,0.3462,0.3189
hybrid_small_p23_m3_standard_3layer_seed0,3,sum,linear,0.3628,0.3508,0.3350
hybrid_small_p23_m3_standard_3layer_seed0,3,sum,mlp,0.3514,0.3468,0.3368
hybrid_small_p23_m3_standard_3layer_seed0,3,r1,linear,0.3335,0.3359,0.3327
hybrid_small_p23_m3_standard_3layer_seed0,3,r1,mlp,0.3548,0.3447,0.3371
hybrid_small_p23_m3_standard_3layer_seed0,3,r2,linear,0.3346,0.3358,0.3300
hybrid_small_p23_m3_standard_3layer_seed0,3,r2,mlp,0.3575,0.3523,0.3289
hybrid_small_p23_m3_standard_4layer_seed0,4,sum,linear,0.3760,0.3566,0.3378
hybrid_small_p23_m3_standard_4layer_seed0,4,sum,mlp,0.3625,0.3497,0.3360
hybrid_small_p23_m3_standard_4layer_seed0,4,r1,linear,0.3492,0.3500,0.3404
hybrid_small_p23_m3_standard_4layer_seed0,4,r1,mlp,0.3218,0.3488,0.3473
hybrid_small_p23_m3_standard_4layer_seed0,4,r2,linear,0.3483,0.3625,0.3483
hybrid_small_p23_m3_standard_4layer_seed0,4,r2,mlp,0.3186,0.3530,0.3480
