variant,seed,freeze_A0,freeze_M0,best_val_epoch,best_val_acc,test_acc_at_best_val,final_train_acc,final_val_acc,tau_0.90,tau_0.95,status
normal,0,0,0,2275,1.0,0.9987694372972368,1.0,0.9960835509138382,2175,2200,GROKKED
normal,1,0,0,2950,1.0,1.0,1.0,1.0,2825,2850,GROKKED
normal,2,0,0,4350,1.0,0.9963083118917104,0.9996736292428199,0.9817232375979112,4175,4225,GROKKED
freeze_A0,0,1,0,3000,1.0,0.9984338292873923,1.0,1.0,2850,2875,GROKKED
freeze_A0,1,1,0,3750,1.0,0.994630271842488,1.0,0.9986945169712794,3400,3425,GROKKED
freeze_A0,2,1,0,5325,1.0,0.9987694372972368,1.0,1.0,4800,4850,GROKKED
freeze_M0,0,0,1,2925,1.0,0.9998881306633851,1.0,1.0,2800,2825,GROKKED
freeze_M0,1,0,1,3725,1.0,0.9948540105157176,1.0,0.9986945169712794,3250,3275,GROKKED
freeze_M0,2,0,1,10475,1.0,0.9977626132677033,1.0,0.9973890339425587,5700,5725,GROKKED
freeze_A0_M0,0,1,1,5175,1.0,0.9988813066338517,1.0,1.0,4875,4900,GROKKED
freeze_A0_M0,1,1,1,5700,1.0,0.9991050453070813,1.0,1.0,5550,5575,GROKKED
freeze_A0_M0,2,1,1,7625,1.0,0.995972703881866,1.0,0.9973890339425587,7000,7075,GROKKED
