variant,layer,component,mean_delta_erank,std_delta_erank,n_seeds,mean_best_val_acc,mean_test_acc_at_best_val,interpretation
normal,0,A,9.00715729789,0.6060049944787299,3,1.0,0.9983592497296492,expansion / feature construction
normal,0,M,-0.9301798989126772,0.1704101169143165,3,1.0,0.9983592497296492,compression / concentration
normal,1,A,-0.15605838370825253,0.05014335014196807,3,1.0,0.9983592497296492,compression / concentration
normal,1,M,-1.7022437415347673,0.23942256513848845,3,1.0,0.9983592497296492,compression / concentration
normal,2,A,7.723146511767733,0.6062187747989495,3,1.0,0.9983592497296492,expansion / feature construction
normal,2,M,7.6531795882705405,1.3743413238997535,3,1.0,0.9983592497296492,expansion / feature construction
freeze_A0,0,A,20.63454516574526,1.5412865332483257,3,1.0,0.9972778461423725,expansion / feature construction
freeze_A0,0,M,-8.156259940122803,0.8847484583475587,3,1.0,0.9972778461423725,compression / concentration
freeze_A0,1,A,-3.1713478002567914,0.5244879126165786,3,1.0,0.9972778461423725,compression / concentration
freeze_A0,1,M,-2.085429682130927,0.8455163847715595,3,1.0,0.9972778461423725,compression / concentration
freeze_A0,2,A,7.3322166958058785,1.1107765270860062,3,1.0,0.9972778461423725,expansion / feature construction
freeze_A0,2,M,7.217391084115525,1.819946099061512,3,1.0,0.9972778461423725,expansion / feature construction
freeze_M0,0,A,7.401268356251279,1.4440706930836664,3,1.0,0.9975015848156019,expansion / feature construction
freeze_M0,0,M,1.5686950917292537,0.6674056963800848,3,1.0,0.9975015848156019,expansion / feature construction
freeze_M0,1,A,-0.7058478000637646,1.0225165612932323,3,1.0,0.9975015848156019,compression / concentration
freeze_M0,1,M,-2.0150727008774045,0.9147917383782356,3,1.0,0.9975015848156019,compression / concentration
freeze_M0,2,A,5.837669044855954,1.27724350168401,3,1.0,0.9975015848156019,expansion / feature construction
freeze_M0,2,M,3.7376307374933675,2.001734015914614,3,1.0,0.9975015848156019,expansion / feature construction
freeze_A0_M0,0,A,22.19381712088334,1.7264191997067984,3,1.0,0.997986351940933,expansion / feature construction
freeze_A0_M0,0,M,-1.335832562872015,0.12228772462578796,3,1.0,0.997986351940933,compression / concentration
freeze_A0_M0,1,A,-10.720682189428485,1.3787357526195412,3,1.0,0.997986351940933,compression / concentration
freeze_A0_M0,1,M,-2.9124076832215664,0.43021827750773933,3,1.0,0.997986351940933,compression / concentration
freeze_A0_M0,2,A,6.327165168129482,1.2014692193360732,3,1.0,0.997986351940933,expansion / feature construction
freeze_A0_M0,2,M,8.239161218127945,1.774162342529702,3,1.0,0.997986351940933,expansion / feature construction
