epoch,layer_0_pre,layer_0_mid,layer_0_post,layer_0_delta_attn,layer_0_delta_mlp,layer_1_pre,layer_1_mid,layer_1_post,layer_1_delta_attn,layer_1_delta_mlp,layer_2_pre,layer_2_mid,layer_2_post,layer_2_delta_attn,layer_2_delta_mlp,layer_3_pre,layer_3_mid,layer_3_post,layer_3_delta_attn,layer_3_delta_mlp
1000,1.0000000000000344,1.0000000000000344,1.0000000000000415,0.0,7.105427357601002e-15,1.0000000000000415,1.0000000000000415,1.000000000000048,0.0,6.439293542825908e-15,1.000000000000048,1.000000000000048,1.000000000000043,0.0,-4.884981308350689e-15,1.000000000000043,1.000000000000043,1.0000000000000449,0.0,1.7763568394002505e-15
2000,1.0000000000000413,1.0000000000000413,1.0000000000000477,0.0,6.439293542825908e-15,1.0000000000000477,1.0000000000000477,1.0000000000000402,0.0,-7.549516567451064e-15,1.0000000000000402,1.0000000000000402,1.000000000000036,0.0,-4.218847493575595e-15,1.000000000000036,1.000000000000036,1.0000000000000449,0.0,8.881784197001252e-15
3000,1.000000000000044,1.000000000000044,1.0000000000000417,0.0,-2.220446049250313e-15,1.0000000000000417,1.0000000000000417,1.0000000000000397,0.0,-1.9984014443252818e-15,1.0000000000000397,1.0000000000000397,1.0000000000000444,0.0,4.6629367034256575e-15,1.0000000000000444,1.0000000000000444,1.0000000000000415,0.0,-2.886579864025407e-15
4000,1.0000000000000397,1.0000000000000397,1.0000000000000384,0.0,-1.3322676295501878e-15,1.0000000000000384,1.0000000000000384,1.000000000000038,0.0,-4.440892098500626e-16,1.000000000000038,1.000000000000038,1.0000000000000377,0.0,-2.220446049250313e-16,1.0000000000000377,1.0000000000000377,1.0000000000000433,0.0,5.551115123125783e-15
5000,1.0000000000000433,1.0000000000000433,1.000000000000038,0.0,-5.329070518200751e-15,1.000000000000038,1.000000000000038,1.000000000000039,0.0,1.1102230246251565e-15,1.000000000000039,1.000000000000039,1.0000000000000415,0.0,2.4424906541753444e-15,1.0000000000000415,1.0000000000000415,1.0000000000000426,0.0,1.1102230246251565e-15
6000,1.000000000000043,1.000000000000043,1.0000000000000475,0.0,4.440892098500626e-15,1.0000000000000475,1.0000000000000475,1.0000000000000395,0.0,-7.993605777301127e-15,1.0000000000000395,1.0000000000000395,1.000000000000042,0.0,2.4424906541753444e-15,1.000000000000042,1.000000000000042,1.0000000000000442,0.0,2.220446049250313e-15
7000,1.0000000000000433,1.0000000000000433,1.000000000000043,0.0,-2.220446049250313e-16,1.000000000000043,1.000000000000043,1.0000000000000357,0.0,-7.327471962526033e-15,1.0000000000000357,1.0000000000000357,1.0000000000000435,0.0,7.771561172376096e-15,1.0000000000000435,1.0000000000000435,1.0000000000000395,0.0,-3.9968028886505635e-15
8000,1.0000000000000435,1.0000000000000435,1.000000000000041,0.0,-2.4424906541753444e-15,1.000000000000041,1.000000000000041,1.0000000000000442,0.0,3.1086244689504383e-15,1.0000000000000442,1.0000000000000442,1.000000000000041,0.0,-3.1086244689504383e-15,1.000000000000041,1.000000000000041,1.0000000000000429,0.0,1.7763568394002505e-15
9000,1.0000000000000409,1.0000000000000409,1.0000000000000355,0.0,-5.329070518200751e-15,1.0000000000000355,1.0000000000000355,1.0000000000000469,0.0,1.1324274851176597e-14,1.0000000000000469,1.0000000000000469,1.0000000000000324,0.0,-1.4432899320127035e-14,1.0000000000000324,1.0000000000000324,1.0000000000000437,0.0,1.1324274851176597e-14
10000,1.0000000000000482,1.0000000000000482,1.0000000000000433,0.0,-4.884981308350689e-15,1.0000000000000433,1.0000000000000433,1.0000000000000362,0.0,-7.105427357601002e-15,1.0000000000000362,1.0000000000000362,1.0000000000000362,0.0,0.0,1.0000000000000362,1.0000000000000362,1.0000000000000264,0.0,-9.769962616701378e-15
11000,1.0000000000000313,1.0000000000000313,1.0000000000000409,0.0,9.547918011776346e-15,1.0000000000000409,1.0000000000000409,1.0000000000000393,0.0,-1.5543122344752192e-15,1.0000000000000393,1.0000000000000393,1.0000000000000429,0.0,3.552713678800501e-15,1.0000000000000429,1.0000000000000429,1.000000000000038,0.0,-4.884981308350689e-15
12000,1.000000000000035,1.000000000000035,1.000000000000045,0.0,9.992007221626409e-15,1.000000000000045,1.000000000000045,1.0000000000000466,0.0,1.5543122344752192e-15,1.0000000000000466,1.0000000000000466,1.000000000000038,0.0,-8.659739592076221e-15,1.000000000000038,1.000000000000038,1.000000000000031,0.0,-6.8833827526759706e-15
13000,1.0000000000000284,1.0000000000000284,1.0000000000000273,0.0,-1.1102230246251565e-15,1.0000000000000273,1.0000000000000273,1.000000000000039,0.0,1.176836406102666e-14,1.000000000000039,1.000000000000039,1.0000000000000169,0.0,-2.220446049250313e-14,1.0000000000000169,1.0000000000000169,1.0000000000000322,0.0,1.532107773982716e-14
14000,1.0000000000000306,1.0000000000000306,1.0000000000000488,0.0,1.8207657603852567e-14,1.0000000000000488,1.0000000000000488,1.000000000000033,0.0,-1.5765166949677223e-14,1.000000000000033,1.000000000000033,1.0000000000000364,0.0,3.3306690738754696e-15,1.0000000000000364,1.0000000000000364,1.000000000000029,0.0,-7.327471962526033e-15
15000,1.000000000000045,1.000000000000045,1.0000000000000313,0.0,-1.3766765505351941e-14,1.0000000000000313,1.0000000000000313,1.0000000000000462,0.0,1.4876988529977098e-14,1.0000000000000462,1.0000000000000462,1.000000000000052,0.0,5.773159728050814e-15,1.000000000000052,1.000000000000052,1.000000000000037,0.0,-1.4876988529977098e-14
16000,1.0000000000000424,1.0000000000000424,1.0000000000000304,0.0,-1.199040866595169e-14,1.0000000000000304,1.0000000000000304,1.000000000000043,0.0,1.2656542480726785e-14,1.000000000000043,1.000000000000043,1.0000000000000415,0.0,-1.5543122344752192e-15,1.0000000000000415,1.0000000000000415,1.0000000000000364,0.0,-5.10702591327572e-15
17000,1.00000000000005,1.00000000000005,1.0000000000000389,0.0,-1.1102230246251565e-14,1.0000000000000389,1.0000000000000389,1.0000000000000409,0.0,1.9984014443252818e-15,1.0000000000000409,1.0000000000000409,1.0000000000000484,0.0,7.549516567451064e-15,1.0000000000000484,1.0000000000000484,1.0000000000000486,0.0,2.220446049250313e-16
18000,1.000000000000035,1.000000000000035,1.0000000000000364,0.0,1.3322676295501878e-15,1.0000000000000364,1.0000000000000364,1.0000000000000333,0.0,-3.1086244689504383e-15,1.0000000000000333,1.0000000000000333,1.0000000000000517,0.0,1.84297022087776e-14,1.0000000000000517,1.0000000000000517,1.0000000000000395,0.0,-1.2212453270876722e-14
19000,1.0000000000000384,1.0000000000000384,1.0000000000000422,0.0,3.774758283725532e-15,1.0000000000000422,1.0000000000000422,1.0000000000000457,0.0,3.552713678800501e-15,1.0000000000000457,1.0000000000000457,1.0000000000000455,0.0,-2.220446049250313e-16,1.0000000000000455,1.0000000000000455,1.0000000000000462,0.0,6.661338147750939e-16
20000,1.0000000000000333,1.0000000000000333,1.0000000000000424,0.0,9.103828801926284e-15,1.0000000000000424,1.0000000000000424,1.0000000000000326,0.0,-9.769962616701378e-15,1.0000000000000326,1.0000000000000326,1.0000000000000298,0.0,-2.886579864025407e-15,1.0000000000000298,1.0000000000000298,1.0000000000000306,0.0,8.881784197001252e-16
21000,1.0000000000000433,1.0000000000000433,1.000000000000041,0.0,-2.220446049250313e-15,1.000000000000041,1.000000000000041,1.000000000000052,0.0,1.0880185641326534e-14,1.000000000000052,1.000000000000052,1.0000000000000384,0.0,-1.354472090042691e-14,1.0000000000000384,1.0000000000000384,1.0000000000000415,0.0,3.1086244689504383e-15
22000,1.0000000000000422,1.0000000000000422,1.0000000000000393,0.0,-2.886579864025407e-15,1.0000000000000393,1.0000000000000393,1.0000000000000426,0.0,3.3306690738754696e-15,1.0000000000000426,1.0000000000000426,1.0000000000000302,0.0,-1.2434497875801753e-14,1.0000000000000302,1.0000000000000302,1.0000000000000466,0.0,1.6431300764452317e-14
23000,1.0000000000000482,1.0000000000000482,1.0000000000000167,0.0,-3.1530333899354446e-14,1.0000000000000167,1.0000000000000167,1.000000000000045,0.0,2.842170943040401e-14,1.000000000000045,1.000000000000045,1.0000000000000375,0.0,-7.549516567451064e-15,1.0000000000000375,1.0000000000000375,1.0000000000000504,0.0,1.2878587085651816e-14
24000,1.0000000000000395,1.0000000000000395,1.0000000000000453,0.0,5.773159728050814e-15,1.0000000000000453,1.0000000000000453,1.0000000000000386,0.0,-6.661338147750939e-15,1.0000000000000386,1.0000000000000386,1.0000000000000406,0.0,1.9984014443252818e-15,1.0000000000000406,1.0000000000000406,1.0000000000000342,0.0,-6.439293542825908e-15
25000,1.000000000000046,1.000000000000046,1.0000000000000346,0.0,-1.1324274851176597e-14,1.0000000000000346,1.0000000000000346,1.0000000000000413,0.0,6.661338147750939e-15,1.0000000000000413,1.0000000000000413,1.0000000000000526,0.0,1.1324274851176597e-14,1.0000000000000526,1.0000000000000526,1.0000000000000295,0.0,-2.3092638912203256e-14
