kind,epoch,path,extra
random_init,0,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/random_init_checkpoint.pt,{}
event_train_acc_99,200,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/event_train_acc_99_ep200.pt,{}
periodic,500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep500.pt,{}
periodic,1000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep1000.pt,{}
periodic,1500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep1500.pt,{}
periodic,2000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep2000.pt,{}
periodic,2500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep2500.pt,{}
periodic,3000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep3000.pt,{}
periodic,3500,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep3500.pt,{}
periodic,4000,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/periodic_ep4000.pt,{}
event_val_acc_05,4250,/jumbo/lisp/f006j44/erank/erank-interp/outputs/modadd_arch_matrix_7gpu/modadd_4layer_route_then_process_AAMM/checkpoints/event_val_acc_05_ep4250.pt,{}
