epoch,layer_0_pre,layer_0_mid,layer_0_post,layer_0_delta_attn,layer_0_delta_mlp,layer_1_pre,layer_1_mid,layer_1_post,layer_1_delta_attn,layer_1_delta_mlp,layer_2_pre,layer_2_mid,layer_2_post,layer_2_delta_attn,layer_2_delta_mlp,layer_3_pre,layer_3_mid,layer_3_post,layer_3_delta_attn,layer_3_delta_mlp
1000,1.0000000000000353,12.790060995159838,12.487975317844578,11.790060995159802,-0.3020856773152598,12.487975317844578,13.159189082235471,12.415671710481105,0.6712137643908935,-0.7435173717543666,12.415671710481105,14.955891533546037,16.401711556672602,2.540219823064932,1.445820023126565,16.401711556672602,28.522784939844318,69.28932034492077,12.121073383171716,40.76653540507645
2000,1.0000000000000404,12.71926788481755,12.229967866717663,11.719267884817508,-0.4893000180998861,12.229967866717663,13.071566024208353,12.311171556402591,0.8415981574906901,-0.7603944678057619,12.311171556402591,12.9258278234989,13.461496353944023,0.6146562670963078,0.5356685304451236,13.461496353944023,24.61876833097676,69.18628006240762,11.157271977032737,44.567511731430855
3000,1.0000000000000402,11.748015355978913,11.233546703907818,10.748015355978872,-0.5144686520710948,11.233546703907818,11.300593339258317,10.816425360422922,0.06704663535049882,-0.4841679788353943,10.816425360422922,10.643714093686663,11.47478397263625,-0.17271126673625936,0.8310698789495863,11.47478397263625,19.137051036224094,45.12169291452938,7.662267063587844,25.98464187830529
4000,1.000000000000038,7.271582766969641,7.146010042175499,6.271582766969603,-0.12557272479414205,7.146010042175499,7.3650815047349845,7.738214296489759,0.2190714625594854,0.37313279175477465,7.738214296489759,7.366295859658281,8.393174000312014,-0.3719184368314785,1.026878140653733,8.393174000312014,12.518435124230338,24.528823374018533,4.125261123918325,12.010388249788194
5000,1.000000000000039,6.246791465812749,6.225897379922491,5.24679146581271,-0.02089408589025865,6.225897379922491,6.315874433621105,6.731038627529371,0.08997705369861464,0.4151641939082662,6.731038627529371,6.138712387035677,8.042123726804801,-0.5923262404936942,1.9034113397691241,8.042123726804801,11.635278343738966,19.67125437796151,3.5931546169341644,8.035976034222545
6000,1.0000000000000455,6.010731399417956,5.952328467900072,5.010731399417911,-0.05840293151788423,5.952328467900072,5.750893972266158,6.718377408044854,-0.20143449563391425,0.9674834357786963,6.718377408044854,6.070537353967406,7.550727203971381,-0.6478400540774478,1.480189850003975,7.550727203971381,10.923728265899289,19.05654445452703,3.3730010619279076,8.132816188627743
7000,1.0000000000000386,4.157691603298648,4.131955422910733,3.1576916032986095,-0.025736180387915475,4.131955422910733,4.141493161364013,5.190466848314367,0.009537738453280653,1.0489736869503536,5.190466848314367,4.414631284974013,6.535412146178783,-0.7758355633403538,2.1207808612047696,6.535412146178783,10.739479664719124,16.193015257100008,4.204067518540341,5.453535592380884
8000,1.0000000000000417,4.176418613325948,4.230189010914911,3.1764186133259065,0.05377039758896274,4.230189010914911,4.11854786330221,5.001765951717295,-0.11164114761270127,0.8832180884150853,5.001765951717295,4.29354268609131,6.300754534074884,-0.7082232656259846,2.007211847983574,6.300754534074884,9.920367791225699,15.25778020017965,3.6196132571508146,5.33741240895395
9000,1.0000000000000382,4.26054754257867,4.319356846395496,3.2605475425786317,0.05880930381682603,4.319356846395496,4.343604190232907,4.6125075160914495,0.024247343837410895,0.2689033258585427,4.6125075160914495,4.186768648066985,7.2771664938460665,-0.4257388680244647,3.0903978457790817,7.2771664938460665,11.245929884861004,15.065697389751193,3.968763391014938,3.819767504890189
10000,1.0000000000000493,4.2904518330767685,4.315566217230419,3.290451833076719,0.025114384153650526,4.315566217230419,4.339790729784076,4.449547923197427,0.024224512553656652,0.10975719341335122,4.449547923197427,4.039037677490095,6.407086919267708,-0.4105102457073322,2.368049241777613,6.407086919267708,10.33740569880651,14.960281631271613,3.930318779538802,4.622875932465103
11000,1.0000000000000446,4.292932116112254,4.293294967433868,3.292932116112209,0.0003628513216140661,4.293294967433868,4.37415245374445,4.969256802875771,0.08085748631058198,0.5951043491313213,4.969256802875771,4.406562603992195,6.443030232210865,-0.5626941988835759,2.03646762821867,6.443030232210865,10.807619640375014,17.90320460229073,4.364589408164149,7.095584961915717
