section,row_kind,key1,key2,key3,metric,value
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,best_val_acc,0.010443864229765013
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,test_at_best_val,0.0038035574449043516
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,tau,
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,final_erank,71.02161560285008
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,sum_delta_attn,70.02161560285003
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,sum_delta_mlp,0.0
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,topk1,0.032593323949981184
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,topk5,0.14644615974669958
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,topk10,0.26578880276813527
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,topk20,0.4600392775950711
arch,run,modadd_4layer_attention_only_AAAA,A-A-A-A,,same_sum_ratio,
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,best_val_acc,0.9947780678851175
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,test_at_best_val,0.9758362232911959
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,tau,11200.0
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,final_erank,11.147633422303402
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,sum_delta_attn,4.921515117131149
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,sum_delta_mlp,5.22611830517222
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,topk1,0.22428596749356705
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,topk5,0.6780785414567717
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,topk10,0.8924947848562863
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,topk20,0.9960056893662296
arch,run,modadd_4layer_early_attention_AMMM,A-M-M-M,,same_sum_ratio,0.3694086941615033
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,best_val_acc,0.015665796344647518
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,test_at_best_val,0.009732632285490548
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,tau,
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,final_erank,39.22910909662848
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,sum_delta_attn,38.229109096628434
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,sum_delta_mlp,3.9968028886505635e-15
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,topk1,0.05563430004808075
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,topk5,0.24373081692957269
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,topk10,0.4322735333452831
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,topk20,0.7101021706270139
arch,run,modadd_4layer_late_attention_MMMA,M-M-M-A,,same_sum_ratio,
arch,run,modadd_4layer_mlp_only_MMMM,M-M-M-M,,best_val_acc,0.010443864229765013
arch,run,modadd_4layer_mlp_only_MMMM,M-M-M-M,,test_at_best_val,0.008278330909497707
arch,run,modadd_4layer_mlp_only_MMMM,M-M-M-M,,tau,
arch,run,modadd_4layer_mlp_only_MMMM,M-M-M-M,,final_erank,1.0000000000000362
arch,run,modadd_4layer_mlp_only_MMMM,M-M-M-M,,sum_delta_attn,0.0
arch,run,modadd_4layer_mlp_only_MMMM,M-M-M-M,,sum_delta_mlp,-2.220446049250313e-15
arch,run,modadd_4layer_mlp_only_MMMM,M-M-M-M,,topk1,1.0
