run_id,task,architecture,seed,learning_rate,weight_decay,batch_size,max_epochs,stopping_epoch,best_val_epoch,best_val_acc,test_acc,sum_delta_attn,sum_delta_mlp,layer0_delta_attn,layer0_delta_mlp,layer1_delta_attn,layer1_delta_mlp,checkpoint_path,erank_result_path,log_path,notes,success
seed0_attention_only_hybrid_retrieve_add,hybrid_retrieve_add,attention_only,0,0.0003,1.0,256,15000,15000,5742,0.015,0.008166666666666666,29.30727917251096,0.0,9.294521615226788,0.0,20.01275755728417,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_hybrid_retrieve_add/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_hybrid_retrieve_add/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_hybrid_retrieve_add/log.txt,low_accuracy (test_acc=0.0082),False
seed0_attention_only_key_value,key_value,attention_only,0,0.0003,1.0,256,50000,511,511,1.0,1.0,5.638083651950687,0.0,6.285569046784142,0.0,-0.6474853948334545,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_key_value/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_key_value/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_key_value/log.txt,success,True
seed0_attention_only_modular_addition,modular_addition,attention_only,0,0.0003,1.0,256,15000,15000,1,0.007832898172323759,0.008613938919342208,76.20724070677706,0.0,67.80336614634084,0.0,8.403874560436222,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_modular_addition/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_modular_addition/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/attention_only_modular_addition/log.txt,low_accuracy (test_acc=0.0086),False
seed0_standard_hybrid_retrieve_add,hybrid_retrieve_add,standard,0,0.0003,1.0,256,50000,50000,46152,0.019642857142857142,0.009333333333333334,43.46027340878522,33.503857095608645,11.370154596672089,-0.6007850575540346,32.09011881211313,34.10464215316268,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_hybrid_retrieve_add/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_hybrid_retrieve_add/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_hybrid_retrieve_add/log.txt,low_accuracy (test_acc=0.0093),False
seed0_standard_key_value,key_value,standard,0,0.0003,1.0,256,50000,507,507,1.0,1.0,6.16275782401328,-2.484521639121545,0.4443353142191797,-0.6678078215203058,5.7184225097941,-1.8167138176012392,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_key_value/log.txt,success,True
seed0_standard_modular_addition,modular_addition,standard,0,0.0003,1.0,256,50000,5398,5395,1.0,0.9998881306633851,11.215251654620204,7.845054758546715,6.79912899509987,-0.9898413146324474,4.416122659520333,8.834896073179163,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_modular_addition/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_modular_addition/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_0/standard_modular_addition/log.txt,success,True
seed1_attention_only_hybrid_retrieve_add,hybrid_retrieve_add,attention_only,1,0.0003,1.0,256,15000,15000,1681,0.015,0.007333333333333333,36.86598555243818,0.0,12.313616616873889,0.0,24.552368935564296,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_hybrid_retrieve_add/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_hybrid_retrieve_add/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_hybrid_retrieve_add/log.txt,low_accuracy (test_acc=0.0073),False
seed1_attention_only_key_value,key_value,attention_only,1,0.0003,1.0,256,50000,511,511,1.0,1.0,7.468759546574398,0.0,4.48314055136099,0.0,2.9856189952134073,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_key_value/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_key_value/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_key_value/log.txt,success,True
seed1_attention_only_modular_addition,modular_addition,attention_only,1,0.0003,1.0,256,15000,15000,4,0.013054830287206266,0.006040944177201029,73.31178112526517,0.0,67.14441088096359,0.0,6.16737024430158,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_modular_addition/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_modular_addition/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/attention_only_modular_addition/log.txt,low_accuracy (test_acc=0.0060),False
seed1_standard_hybrid_retrieve_add,hybrid_retrieve_add,standard,1,0.0003,1.0,256,50000,50000,6883,0.017142857142857144,0.0095,40.35957061156615,35.360124960182844,10.856486695254794,-0.42475985880229317,29.503083916311354,35.784884818985134,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_hybrid_retrieve_add/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_hybrid_retrieve_add/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_hybrid_retrieve_add/log.txt,low_accuracy (test_acc=0.0095),False
seed1_standard_key_value,key_value,standard,1,0.0003,1.0,256,50000,506,506,1.0,1.0,7.141269339802179,-2.5459563100389198,0.5522487568665526,-0.5613489865582131,6.589020582935626,-1.9846073234807067,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_key_value/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_key_value/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_key_value/log.txt,success,True
seed1_standard_modular_addition,modular_addition,standard,1,0.0003,1.0,256,50000,6024,6020,1.0,1.0,8.321559500772302,2.7263122396285393,3.3665908227642105,-0.15694195034723712,4.954968678008092,2.8832541899757764,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_modular_addition/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_modular_addition/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_1/standard_modular_addition/log.txt,success,True
seed2_attention_only_hybrid_retrieve_add,hybrid_retrieve_add,attention_only,2,0.0003,1.0,256,15000,15000,13601,0.016428571428571428,0.0105,23.303547557508253,0.0,5.640831051085007,0.0,17.662716506423248,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_hybrid_retrieve_add/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_hybrid_retrieve_add/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_hybrid_retrieve_add/log.txt,low_accuracy (test_acc=0.0105),False
seed2_attention_only_key_value,key_value,attention_only,2,0.0003,1.0,256,50000,512,512,1.0,1.0,5.989522884977025,0.0,6.331417877515162,0.0,-0.34189499253813693,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_key_value/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_key_value/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_key_value/log.txt,success,True
seed2_attention_only_modular_addition,modular_addition,attention_only,2,0.0003,1.0,256,15000,15000,10896,0.010443864229765013,0.004922250811052691,61.04311531683338,0.0,18.897842619508328,0.0,42.145272697325055,0.0,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_modular_addition/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_modular_addition/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/attention_only_modular_addition/log.txt,low_accuracy (test_acc=0.0049),False
seed2_standard_hybrid_retrieve_add,hybrid_retrieve_add,standard,2,0.0003,1.0,256,50000,50000,40734,0.017857142857142856,0.01,39.30717042403991,33.53073721801931,10.09233193708538,-0.9596711246489189,29.21483848695453,34.49040834266823,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_hybrid_retrieve_add/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_hybrid_retrieve_add/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_hybrid_retrieve_add/log.txt,low_accuracy (test_acc=0.0100),False
seed2_standard_key_value,key_value,standard,2,0.0003,1.0,256,50000,506,504,1.0,1.0,6.079207904368146,-2.724562959550667,0.6505607349268958,-0.6216492587420799,5.42864716944125,-2.102913700808587,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_key_value/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_key_value/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_key_value/log.txt,success,True
seed2_standard_modular_addition,modular_addition,standard,2,0.0003,1.0,256,50000,9390,9389,1.0,1.0,12.46183594394714,1.332729032060124,5.523201331909231,-0.17944547965778312,6.938634612037909,1.512174511717907,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_modular_addition/checkpoints/model_best_val.pt,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_modular_addition/erank/endpoint_erank.json,/scratch/f006j44/erank/erank-interp/outputs/thesis_additions/seed_2/standard_modular_addition/log.txt,success,True
